#상품명,가격,재고수량,이미지URL
베이직 무지 반팔 티셔츠,15000,100,https://github.com/user-attachments/assets/0eea371b-a590-49fe-b9e3-9350fc8e4b31
데님 와이드 스트레이트 팬츠,45000,50,https://github.com/user-attachments/assets/1550313d-76f3-4701-96ac-7cdd9ef2d37c
오버핏 후드 집업,58000,30,https://github.com/user-attachments/assets/74eda910-3625-4082-8a23-e60a5013bb74
경량 숏 패딩 점퍼,129000,20,https://github.com/user-attachments/assets/5089fad5-a299-4809-af37-c348d630abf6
클래식 스니커즈,69000,45,https://github.com/user-attachments/assets/0fe06181-b2fe-461e-93a6-ef2357dd2608
소프트 오버핏 니트 슬리브,38000,60,https://github.com/user-attachments/assets/5da3ba86-8388-495a-aeb3-d7b98bf46256
워시드 캡 모자,22000,80,https://github.com/user-attachments/assets/80a1a70c-ede9-4802-8e62-4fbb592f2597
스탠다드 핏 트레이닝 팬츠,32000,75,https://github.com/user-attachments/assets/2900c2f1-a384-4166-be91-d5c1177c4557
체크 패턴 가디건,49000,25,https://github.com/user-attachments/assets/ea664fb7-165a-472e-9996-ff940f9f141e
캐주얼 백팩,55000,0,https://github.com/user-attachments/assets/dbfde6ce-6490-404b-b1e3-df86eb146483
